Player,Team,Age,Role,Avg FB Velo,Overall Whiff %,K %,BB %,Hard-Hit %,40-Man Status,Options Remaining,MLB Service Time,Contract Status,Free Agent Year,Recent Transactions,Injury / Availability Notes,Attainability Notes,Screen Type,Why He Fits WSH,Final Shortlist
Drew Sommers,DET,26,Reliever,95,29.5,37.7,8.2,14.3,Yes,1 likely remaining,0.032 entering 2026,Pre-arbitration,2032,"Recalled May 24; optioned May 25; recalled May 28, 2026",No current injury issue found,"Young, controllable lefty with strong 2026 MLB performance; low salary but significant team control likely makes him relatively expensive in trade",Immediate Impact,Adds substantially more swing-and-miss and strikeouts than WSH baseline while maintaining good control; elite contact suppression shows that additional value does not depend solely on velocity,YES – Immediate Impact
Mason Montgomery,PIT,26,Reliever,98.7,29.4,39.4,7.3,20.4,Yes,Not verified,1.021 entering 2026,Pre-arbitration,2031,"Acquired from TB on Dec. 19, 2025 in three-team trade; established in Pirates high-leverage/closer role in 2026",No current injury issue found,"Young, controllable left-hander with premium velocity and strong strikeout/control profile; current high-leverage role and team control likely make acquisition cost substantial",Immediate Impact,"Premium velocity plus strong fastball whiffs, elite strikeout rate and better-than-WSH control; closest all-around match to the bullpen deficiency identified by the analysis",YES – Premium Immediate Impact
Jonathan Bowlan,PHI,29,Reliever,97.1,28.9,31.8,7.3,19.8,Yes,Not verified,0.116 entering 2026,Pre-arbitration,2032,Acquired from KC in offseason trade for LHP Matt Strahm; became a prominent Phillies setup reliever in 2026,Mild right groin strain as of Sept. 18; not placed on IL and Phillies hope for postseason return,"Controllable pre-arb reliever who has established himself in a setup role; strong fit, but successful 2026 performance and team control likely increase trade cost",Immediate Impact,"Adds roughly 3 mph versus WSH baseline while also improving fastball whiffs, strikeouts, walks and contact quality; balanced profile with no obvious statistical weakness",YES – Immediate Impact
Didier Fuentes,ATL,21,Reliever,97.3,27.2,30.7,7,17.1,Yes,Not verified,0.019 entering 2026,Pre-arbitration,2032,Optioned Mar. 30; recalled/optioned multiple times in April before establishing a major-league bullpen role,No current injury issue identified in reviewed sources,"Extremely young, controllable arm with strong MLB performance already; excellent profile but age, upside and control through roughly 2032 likely make him very expensive to acquire",Immediate Impact,"Young, controllable arm that improves velocity, whiffs, strikeouts, control and contact suppression; excellent fit statistically, but youth and team control likely make acquisition difficult",NO – Strong Alternate
Juan Morillo,AZ,27,Reliever,98.7,27.1,29,8.1,17.6,Yes,Not verified,0.111 entering 2026,Pre-arbitration,2032,Recalled by Arizona in Sept. 2025 and remained part of the major-league bullpen in 2026,No current injury issue identified in reviewed sources,Power right-hander with strong 2026 results and extensive team control; attractive performance fit but likely viewed by Arizona as a controllable bullpen asset,Immediate Impact,"Adds nearly 5 mph versus WSH baseline with above-baseline whiffs, strikeouts, control and contact suppression; strong balanced profile but less differentiated than finalists",NO – Strong Alternate
Erik Miller,BOS (screen stats: SF),28,Reliever,96.9,34,32.6,14.1,18.1,Yes,Not verified,2.000 entering 2026,Pre-arbitration,2030,"Traded from SF to BOS on Aug. 3, 2026 with minor-league OF Carlos Gutierrez for Marcelo Mayer; now pitching in Boston's high-leverage bullpen",No current injury issue identified in reviewed sources,Strong left-handed bat-missing profile but elevated walk rate remains development risk; recent trade and successful high-leverage role with Boston suggest meaningful acquisition cost,Upside,"Overall bat-missing and strikeout ability are excellent and contact suppression is strong, but fastball whiff rate is only near WSH baseline and walks remain elevated",NO
Kyle Hurt,LAD,28,Reliever,96.6,32.5,29.5,11.9,23.5,Yes,Not verified,1.099 entering 2026,Pre-arbitration,2031,Frequently optioned and recalled by LAD during 2026; optioned Sept. 5 and recalled Sept. 20,Healthy enough to pitch in 2026 after prior right elbow surgery; no current IL placement identified,"High-strikeout arm with roster flexibility and some control risk; repeated optioning suggests greater organizational availability than entrenched high-leverage relievers, though Dodgers pitching depth decisions complicate valuation",Upside,Adds velocity and dramatically improves both fastball and overall whiff rates; elevated walk rate creates a clear development opportunity rather than a finished-product profile,YES – Upside / Development
Ryan Zeferjahn,CHC (screen stats: LAA),28,Reliever,97,31.7,33.6,12.9,22.1,Yes,Not verified,1.038 entering 2026,Pre-arbitration,2031,"Traded from LAA to CHC on Aug. 4, 2026 for C Moisés Ballesteros and RHP Mason McGwire; moved into Chicago bullpen",No current injury issue identified in reviewed sources,"Premium velocity and strikeout profile with control risk; recent trade return demonstrates substantial market value, making another near-term acquisition less likely to be inexpensive",Upside,"Adds velocity, whiffs and strikeouts, but elevated walks reduce immediate-impact value; recent trade also suggests meaningful acquisition cost",NO
Luis Mey,CIN,25,Reliever,98.3,31,31.7,14.4,24,Yes,Not verified,0.057 entering 2026,Pre-arbitration,2032,Optioned and recalled several times in 2026; most recently recalled from Triple-A Louisville on Aug. 5,No current injury issue identified in reviewed sources,"Very young, hard-throwing and highly controllable; significant walk rate makes him a development target, while repeated optioning indicates roster flexibility and potentially greater attainability than an established late-inning arm",Upside,"Premium velocity and swing-and-miss traits directly address WSH deficiencies, but 14.4% walk rate and weaker contact results create more risk than the selected upside candidates",NO
Edgardo Henriquez,LAD,24,Reliever,100.7,28.2,28.6,10.8,15.4,Yes,Not verified,0.164 entering 2026,Pre-arbitration,2032,Established himself as a Dodgers bullpen contributor in 2026; placed on 15-day IL Sept. 14,"Currently on 15-day IL with lower-back discomfort; unavailable for remainder of regular season, possible postseason return","Extreme velocity, youth and long team control make the profile highly attractive, but strong 2026 performance and Dodgers control likely imply a high acquisition cost; current back issue adds medical diligence",Upside,"Extreme 100.7 mph velocity directly addresses WSH's velocity gap while also improving whiffs, strikeouts and contact suppression; control and injury status create upside/development risk",YES – Extreme-Velocity Upside
